,Стоимость,Модель,Год выпуска,Город,Пробег,Объём двигателя,Тип топлива,Тип подачи топлива,Тактность,Коробка передач
0,86 ₽,Cobra Crossfire, 2013,Уфа,10 км,150 куб. см.,бензин,карбюратор,4-тактный,механика
1,6000 ₽,Урал ИМЗ 8.103-10, 1991,Пограничный,10 км,499 куб. см.,бензин,-,4-тактный,-
2,6500 ₽,Днепр 16М, 1985,Барабинск,-,450 куб. см.,-,карбюратор,-,механика
3,8000 ₽,Восход Восход, 1981,Кызыл,-,175 куб. см.,-,-,-,-
4,9999 ₽,Honda CBR 919RR, 1999,Спасск-Дальний,50 000 км,919 куб. см.,бензин,-,4-тактный,-
5,10000 ₽,Иж Планета 3, 1966,Красный Чикой,-,350 куб. см.,бензин,карбюратор,2-тактный,механика
6,11000 ₽,ABM ABM, 2014,Новосибирск,900 км,72 куб. см.,бензин,карбюратор,4-тактный,механика
7,12000 ₽,Иж 5, 1998,Курья,19 000 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
8,12500 ₽,Kayo Basic YX125, 2025,Набережные Челны,500 км,125 куб. см.,бензин,карбюратор,4-тактный,автомат
9,13000 ₽,ЗиД Ковровец, 1979,Выкса,5 000 км,175 куб. см.,бензин,-,2-тактный,механика
10,14000 ₽,Рига Рига, 1985,Благовещенск,2 508 км,49 куб. см.,бензин,-,-,-
11,15000 ₽,Иж Юпитер 4, 1986,Старобалтачево,99 999 км,350 куб. см.,бензин,-,2-тактный,механика
12,15000 ₽,Урал 5557, 1994,Нижнеудинск,20 000 км,750 куб. см.,бензин,-,4-тактный,-
13,15000 ₽,Иж Планета 4, 1999,Зерноград,999 км,350 куб. см.,бензин,карбюратор,4-тактный,механика
14,15000 ₽,Урал 5557, 1987,Глазов,20 000 км,620 куб. см.,бензин,карбюратор,4-тактный,механика
15,15000 ₽,Минск 1, 1997,Саратов,-,125 куб. см.,бензин,карбюратор,2-тактный,механика
